ID,orderDatum,orderType,status,totaleBedrag,klant_ID
1,2026-06-10,TICKETS,BETAALD,89,1
2,2026-06-11,TICKETS,BETAALD,249,2
3,2026-06-12,TICKETS,OPEN,120,3
4,2026-06-13,TICKETS,GEANNULEERD,95,4
5,2026-06-14,MERCHANDISE,BETAALD,55,5
6,2026-06-15,MERCHANDISE,OPEN,50,6
7,2026-06-16,MERCHANDISE,BETAALD,18,7
8,2026-06-17,MERCHANDISE,GEANNULEERD,30,8
9,2026-06-18,FOOD_DRINKS,BETAALD,35,9
10,2026-06-19,FOOD_DRINKS,OPEN,40,10
11,2026-06-20,FOOD_DRINKS,BETAALD,36,11
12,2026-06-21,FOOD_DRINKS,GEANNULEERD,30,12
13,2026-06-22,TICKETS,BETAALD,70,13
14,2026-06-23,TICKETS,OPEN,60,14
15,2026-06-24,MERCHANDISE,BETAALD,24,15
16,2026-06-25,MERCHANDISE,OPEN,25,16
17,2026-06-26,FOOD_DRINKS,BETAALD,24,17
18,2026-06-27,FOOD_DRINKS,OPEN,50,18
19,2026-06-28,TICKETS,BETAALD,92,19
20,2026-06-29,TICKETS,GEANNULEERD,89,20
