ID,artiest_ID,stage_ID,festivalDag_ID,startTijd,eindTijd
1,1,6,1,19:30:00,22:30:00
2,2,7,1,17:45:00,20:15:00
3,3,4,2,21:00:00,00:15:00
4,4,3,2,16:30:00,19:00:00
5,5,5,3,18:45:00,21:45:00
6,6,14,3,15:30:00,18:30:00
7,7,11,4,20:00:00,23:00:00
8,8,7,4,18:00:00,20:45:00
9,9,13,5,21:30:00,23:59:00
10,10,3,5,14:30:00,17:30:00
11,11,12,6,18:30:00,21:30:00
12,12,19,6,20:15:00,22:45:00
13,13,16,7,21:00:00,23:59:00
14,14,7,7,17:00:00,19:45:00
15,15,4,8,20:30:00,23:30:00
16,16,10,8,15:45:00,18:45:00
17,17,15,9,19:30:00,22:30:00
18,18,14,9,13:30:00,16:30:00
19,19,6,10,20:15:00,23:45:00
20,20,7,10,18:45:00,21:45:00
